BLOQUE;CAMPOS;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL
TARAPOA;ALICE;92.117;83.881;90.989;87.972;89.027;86.944;87.948;87.855;83.570;86.290;84.005;84.451;1045.049
TARAPOA;ALICE OESTE;0;0;0;0;0;0;0;14.728;31.124;32.642;32.684;50.758;161.935
TARAPOA;CHORONGO;6.642;8.212;7.732;7.457;5.730;9.381;9.736;10.253;10.426;10.821;11.337;12.077;109.804
TARAPOA;CHORONGO ESTE;3.365;2.618;2.210;748;0;0;0;0;0;0;0;0;8.941
TARAPOA;COLIBRI;62.696;57.146;57.413;44.915;56.400;72.657;70.449;68.634;49.231;49.733;45.634;43.670;678.579
TARAPOA;DANA;7.093;4.505;2.810;1.316;0;0;0;0;0;96;37;0;15.857
TARAPOA;DORINE;196.580;169.047;190.396;188.106;187.872;189.185;175.084;171.404;168.668;172.138;167.475;172.219;2148.175
TARAPOA;DORINE G;2.145;2.210;2.486;2.453;2.543;2.458;2.506;2.514;2.478;2.590;2.332;24;26.738
TARAPOA;DORINE NORTE;8.353;7.353;8.118;7.871;7.736;7.449;7.630;7.473;7.027;7.260;6.993;7.189;90.453
TARAPOA;ESPERANZA;30.635;28.400;31.070;29.696;29.990;28.416;28.650;29.380;26.666;26.821;24.578;22.342;336.644
TARAPOA;FANNY-18B;477.004;451.050;481.467;449.227;451.535;433.899;439.709;434.354;410.664;418.803;404.022;418.169;5269.902
TARAPOA;JOHANNA;0;0;0;0;0;0;20.063;16.212;10.660;9.176;7.836;7.242;71.188
TARAPOA;MAHOGANY;7.699;6.381;7.571;7.738;8.089;7.046;6.562;6.714;6.184;6.309;5.970;6.008;82.270
TARAPOA;MARIANN;87.413;79.332;82.781;100.134;117.154;121.881;126.045;165.028;159.941;177.997;176.045;202.455;1596.206
TARAPOA;MARIANN NORTE;5.341;2.828;0;0;829;1.449;1.556;0;0;0;0;0;12.002
TARAPOA;MARIANN SUR;15.139;17.965;34.679;46.521;58.845;49.236;46.738;0;0;0;0;0;269.122
TARAPOA;MARIANN-4A;24.771;22.707;27.581;22.908;26.963;24.869;25.561;24.575;21.682;22.600;20.683;19.142;284.040
TARAPOA;ORQUIDEA;0;0;0;0;0;0;0;0;0;334;0;0;334
TARAPOA;SHIRLEY;1.696;1.287;1.304;1.452;1.423;1.901;2.482;2.725;18.230;10.282;7.066;7.401;57.250
TARAPOA;SONIA;4.208;3.760;4.157;4.573;4.924;4.643;4.801;4.794;4.640;4.684;4.274;4.340;53.797
TARAPOA;TARAPOA NOROESTE;;0;0;0;0;0;0;0;0;0;0;0;0